short_name,missing_data,population,Cluster1,Cluster 2,Cluster3,Cluster4,Cluster5
extAZ111,0,1,0.003,0.002,0.002,0.992,0.002
extAZ112,0,1,0.002,0.001,0.002,0.994,0.001
extAZ113,0,1,0.44,0.01,0.355,0.188,0.006
extAZ114,0,1,0.008,0.089,0.003,0.896,0.004
extAZ115,0,1,0.03,0.005,0.061,0.834,0.069
extAZ116,0,1,0.002,0.002,0.002,0.992,0.001
extNM001,0,2,0.842,0.002,0.025,0.01,0.122
extNM002,0,2,0.957,0.007,0.015,0.018,0.004
extNM003,0,2,0.957,0.004,0.016,0.005,0.018
extNM004,-2,2,0.607,0.13,0.022,0.013,0.228
extNM005,0,2,0.971,0.002,0.016,0.002,0.009
extNM006,0,2,0.961,0.01,0.009,0.013,0.006
extNM007,-2,2,0.808,0.004,0.104,0.005,0.079
extNM008,0,2,0.978,0.003,0.009,0.004,0.007
extNM009,0,2,0.948,0.003,0.022,0.005,0.022
extNM010,0,2,0.98,0.002,0.01,0.004,0.005
extNM011,0,2,0.018,0.004,0.006,0.06,0.912
extNM012,0,2,0.005,0.002,0.005,0.009,0.979
extNM013,-1,2,0.015,0.011,0.004,0.089,0.88
extNM014,0,2,0.076,0.007,0.031,0.005,0.881
extNM015,0,2,0.024,0.004,0.026,0.038,0.908
extNM016,0,2,0.019,0.005,0.043,0.006,0.927
extNM017,0,2,0.017,0.008,0.007,0.003,0.966
extNM018,0,2,0.014,0.002,0.014,0.002,0.967
extNM019,0,2,0.005,0.003,0.002,0.005,0.985
extNM020,0,2,0.009,0.002,0.022,0.01,0.957
extNM021,0,2,0.004,0.001,0.004,0.005,0.985
extNM022,-5,2,0.084,0.572,0.052,0.004,0.288
extNM023,0,2,0.022,0.006,0.025,0.036,0.912
extNM025,-2,2,0.902,0.005,0.007,0.034,0.052
extNM027,-8,2,0.034,0.925,0.026,0.012,0.003
extNM028,0,2,0.825,0.009,0.147,0.002,0.018
extNM029,0,2,0.908,0.005,0.052,0.018,0.017
extCO001,0,3,0.944,0.004,0.014,0.003,0.036
extCO002,0,3,0.896,0.009,0.037,0.006,0.052
extCO003,0,3,0.889,0.004,0.017,0.002,0.088
extCO004,0,3,0.755,0.015,0.212,0.003,0.014
extCO005,0,3,0.967,0.004,0.015,0.005,0.009
extCO006,0,3,0.928,0.031,0.024,0.015,0.002
extNV001,-1,4,0.083,0.049,0.09,0.01,0.768
extNV002,0,4,0.024,0.004,0.018,0.006,0.948
extNV003,-1,4,0.058,0.01,0.027,0.032,0.873
extNV004,0,4,0.108,0.008,0.068,0.06,0.756
extNV005,0,4,0.015,0.051,0.006,0.017,0.911
extNV006,0,4,0.01,0.003,0.015,0.134,0.837
extUT001,-5,5,0.129,0.014,0.052,0.034,0.771
extUT002,0,5,0.105,0.006,0.077,0.01,0.802
extUT003,0,5,0.037,0.014,0.016,0.037,0.897
extUT004,0,5,0.038,0.003,0.074,0.014,0.87
extCA001,0,6,0.008,0.003,0.572,0.003,0.415
extCA002,0,6,0.319,0.007,0.337,0.004,0.333
extCA003,0,6,0.298,0.003,0.387,0.004,0.308
extCA004,0,6,0.225,0.003,0.478,0.012,0.281
extCA005,0,6,0.323,0.004,0.402,0.007,0.263
extCA006,0,6,0.087,0.003,0.423,0.005,0.482
extCA007,0,6,0.013,0.004,0.008,0.01,0.965
extCA008,0,6,0.155,0.016,0.099,0.01,0.721
extCA009,0,6,0.593,0.029,0.358,0.011,0.009
extCA010,0,6,0.022,0.01,0.643,0.003,0.322
extCA011,0,6,0.429,0.018,0.224,0.014,0.315
extCA012,0,6,0.142,0.002,0.791,0.044,0.021
extCA013,0,6,0.745,0.003,0.185,0.014,0.053
extCA014,0,6,0.408,0.078,0.507,0.003,0.004
extCA015,0,6,0.042,0.007,0.882,0.026,0.043
extCA016,0,6,0.892,0.005,0.052,0.006,0.045
extCA017,0,6,0.813,0.059,0.094,0.007,0.028
extCA018,0,6,0.189,0.011,0.661,0.015,0.124
extCA019,0,6,0.01,0.003,0.864,0.004,0.119
extCA020,0,6,0.004,0.002,0.987,0.003,0.004
extCA021,0,6,0.012,0.002,0.97,0.009,0.007
extCA022,0,6,0.021,0.019,0.947,0.002,0.011
extCA023,0,6,0.017,0.009,0.962,0.002,0.009
extCA024,0,6,0.004,0.004,0.685,0.001,0.305
extCA025,0,6,0.006,0.004,0.665,0.002,0.323
extCA026,0,6,0.006,0.001,0.986,0.002,0.004
extCA027,0,6,0.011,0.002,0.979,0.004,0.004
extCA028,0,6,0.04,0.003,0.854,0.007,0.095
extCA029,-5,6,0.026,0.004,0.901,0.002,0.068
extCA030,0,6,0.006,0.002,0.898,0.002,0.092
extCA031,0,6,0.014,0.004,0.977,0.002,0.002
extCA032,0,6,0.021,0.013,0.952,0.007,0.008
extCA033,0,6,0.017,0.005,0.969,0.002,0.007
extCA034,0,6,0.036,0.002,0.57,0.006,0.386
extCA035,0,6,0.007,0.003,0.976,0.002,0.013
extCA036,0,6,0.051,0.007,0.88,0.004,0.058
extCA037,0,6,0.117,0.005,0.842,0.003,0.034
extCA038,0,6,0.222,0.007,0.167,0.009,0.594
extCA039,0,6,0.06,0.005,0.229,0.019,0.686
extCA040,0,6,0.139,0.004,0.375,0.005,0.478
extCA041,0,6,0.014,0.002,0.522,0.011,0.45
extCA042,0,6,0.032,0.008,0.337,0.004,0.619
extCA043,0,6,0.147,0.003,0.3,0.006,0.545
extCA044,-3,6,0.025,0.004,0.771,0.005,0.195
extCA045,0,6,0.034,0.004,0.552,0.005,0.404
extCA046,0,6,0.051,0.003,0.515,0.006,0.426
extCA047,0,6,0.313,0.004,0.223,0.005,0.455
brwCA001,0,7,0.011,0.017,0.96,0.009,0.002
brwCA002,0,7,0.005,0.001,0.99,0.002,0.003
brwCA003,0,7,0.267,0.036,0.582,0.005,0.111
brwCA004,0,7,0.117,0.009,0.824,0.048,0.003
brwCA005,-2,7,0.025,0.003,0.947,0.014,0.011
brwCA006,0,7,0.037,0.006,0.808,0.147,0.002
brwOR001,0,8,0.012,0.003,0.982,0.002,0.002
brwOR002,0,8,0.011,0.001,0.961,0.024,0.003
brwOR003,0,8,0.017,0.004,0.97,0.005,0.003
brwOR004,0,8,0.008,0.002,0.985,0.003,0.003
brwOR005,0,8,0.006,0.001,0.977,0.013,0.003
brwOR006,0,8,0.009,0.002,0.984,0.002,0.002
brwOR007,-1,8,0.113,0.055,0.814,0.013,0.005
brwOR008,0,8,0.007,0.003,0.981,0.003,0.006
brwOR010,0,8,0.007,0.002,0.982,0.006,0.003
brwOR012,0,8,0.018,0.006,0.966,0.004,0.006
brwOR013,0,8,0.02,0.005,0.956,0.013,0.005
brwOR014,0,8,0.01,0.005,0.98,0.001,0.003
brwOR015,0,8,0.006,0.004,0.974,0.013,0.002
brwOR016,0,8,0.023,0.003,0.947,0.004,0.024
brwOR017,0,8,0.064,0.055,0.875,0.001,0.004
brwOR018,0,8,0.068,0.086,0.833,0.011,0.002
brwOR019,0,8,0.011,0.006,0.98,0.002,0.002
brwOR020,0,8,0.008,0.001,0.986,0.002,0.002
brwOR021,0,8,0.03,0.006,0.934,0.022,0.009
brwOR022,0,8,0.011,0.002,0.97,0.013,0.002
brwOR023,0,8,0.012,0.006,0.949,0.004,0.029
brwOR024,0,8,0.197,0.041,0.756,0.002,0.004
brwOR025,0,8,0.011,0.002,0.976,0.006,0.004
brwOR026,0,8,0.123,0.012,0.766,0.007,0.091
brwOR027,0,8,0.006,0.002,0.986,0.004,0.003
brwOR028,0,8,0.027,0.003,0.962,0.004,0.004
brwOR029,0,8,0.007,0.002,0.986,0.003,0.002
brwOR030,0,8,0.005,0.001,0.986,0.004,0.004
brwOR031,-2,8,0.112,0.805,0.055,0.018,0.01
brwOR032,0,8,0.008,0.002,0.982,0.007,0.001
brwOR033,0,8,0.176,0.008,0.786,0.005,0.024
brwOR034,0,8,0.155,0.011,0.818,0.011,0.004
brwOR035,0,8,0.013,0.002,0.967,0.006,0.012
brwWA001,0,9,0.007,0.002,0.982,0.005,0.003
brwWA002,0,9,0.007,0.001,0.985,0.002,0.004
brwWA003,0,9,0.005,0.001,0.989,0.001,0.003
brwWA004,0,9,0.014,0.001,0.979,0.004,0.002
brwWA005,-1,9,0.005,0.001,0.985,0.004,0.005
brwWA006,0,9,0.007,0.003,0.981,0.003,0.006
brwWA007,0,9,0.006,0.002,0.987,0.002,0.002
brwWA008,0,9,0.034,0.005,0.931,0.026,0.004
adaBC001,0,10,0.966,0.011,0.012,0.003,0.009
adaBC002,-1,10,0.019,0.003,0.964,0.01,0.003
adaBC003,0,10,0.033,0.935,0.012,0.018,0.002
adaBC004,0,10,0.336,0.045,0.608,0.006,0.005
adaBC005,0,10,0.472,0.125,0.392,0.009,0.003
adaCO001,0,11,0.946,0.005,0.023,0.024,0.003
adaCO002,0,11,0.954,0.004,0.013,0.009,0.02
adaCO003,0,11,0.973,0.002,0.01,0.008,0.007
adaCO004,0,11,0.897,0.002,0.065,0.03,0.004
adaCO005,0,11,0.218,0.239,0.081,0.007,0.454
adaCO006,0,11,0.921,0.017,0.017,0.037,0.008
adaCO007,0,11,0.768,0.003,0.013,0.016,0.201
adaCO008,0,11,0.956,0.005,0.017,0.006,0.016
adaCO009,0,11,0.962,0.003,0.026,0.006,0.002
adaCO010,0,11,0.912,0.005,0.022,0.004,0.057
adaCO011,-2,11,0.951,0.01,0.014,0.017,0.007
adaCO012,0,11,0.911,0.005,0.064,0.007,0.012
adaCO013,0,11,0.96,0.005,0.006,0.012,0.017
adaCO014,0,11,0.846,0.009,0.017,0.028,0.1
adaCO015,0,11,0.966,0.017,0.006,0.003,0.008
adaCO016,0,11,0.841,0.064,0.079,0.007,0.009
adaCO017,0,11,0.927,0.026,0.039,0.006,0.002
adaCO018,0,11,0.871,0.109,0.013,0.004,0.003
adaCO019,0,11,0.946,0.004,0.013,0.03,0.007
adaCO020,0,11,0.833,0.018,0.132,0.013,0.004
adaCO021,0,11,0.953,0.009,0.021,0.003,0.014
adaCO022,0,11,0.969,0.006,0.012,0.01,0.003
adaCO023,0,11,0.906,0.009,0.013,0.004,0.068
adaCO024,0,11,0.961,0.012,0.01,0.008,0.009
adaCO025,0,11,0.946,0.003,0.04,0.004,0.008
adaCO026,0,11,0.936,0.043,0.007,0.012,0.003
adaCO027,0,11,0.535,0.043,0.413,0.006,0.003
adaCO028,0,11,0.946,0.004,0.039,0.001,0.01
adaCO031,0,11,0.268,0.177,0.54,0.006,0.009
adaCO032,0,11,0.921,0.043,0.023,0.007,0.006
adaCO033,0,11,0.606,0.109,0.28,0.002,0.003
adaCO034,0,11,0.938,0.005,0.025,0.031,0.002
adaCO035,0,11,0.635,0.065,0.293,0.003,0.005
adaCO036,0,11,0.848,0.065,0.078,0.003,0.006
adaCO037,-1,11,0.823,0.011,0.029,0.015,0.122
adaCO038,0,11,0.952,0.006,0.029,0.002,0.011
adaCO039,0,11,0.967,0.003,0.016,0.012,0.003
adaCO040,0,11,0.854,0.115,0.017,0.01,0.005
adaCO041,0,11,0.954,0.014,0.027,0.002,0.003
adaCO042,-1,11,0.426,0.014,0.552,0.005,0.003
adaCO043,-1,11,0.959,0.005,0.011,0.008,0.017
adaCO044,0,11,0.631,0.117,0.234,0.003,0.016
adaCO045,-2,11,0.902,0.006,0.049,0.003,0.04
adaCO046,0,11,0.979,0.003,0.007,0.008,0.003
adaCO047,0,11,0.949,0.015,0.008,0.021,0.006
adaCO048,0,11,0.471,0.16,0.361,0.002,0.005
adaCO050,0,11,0.936,0.023,0.034,0.003,0.004
adaCO051,0,11,0.926,0.038,0.014,0.007,0.015
adaCO052,0,11,0.891,0.003,0.099,0.003,0.004
adaCO053,0,11,0.854,0.127,0.009,0.005,0.005
adaCO054,0,11,0.959,0.009,0.02,0.004,0.008
adaCO055,0,11,0.971,0.004,0.012,0.004,0.009
adaCO056,0,11,0.828,0.059,0.005,0.105,0.004
adaCO057,0,11,0.964,0.012,0.01,0.011,0.004
adaCO058,0,11,0.902,0.027,0.062,0.003,0.006
adaCO059,0,11,0.783,0.003,0.106,0.006,0.101
adaCO061,0,11,0.95,0.013,0.005,0.011,0.021
adaCO062,0,11,0.945,0.006,0.021,0.009,0.019
adaCO063,0,11,0.236,0.438,0.263,0.038,0.025
adaCO064,0,11,0.027,0.007,0.889,0.065,0.013
adaCO065,0,11,0.964,0.006,0.012,0.016,0.002
adaCO066,0,11,0.946,0.005,0.024,0.004,0.02
adaCO067,-1,11,0.004,0.002,0.004,0.001,0.989
adaCO068,0,11,0.882,0.009,0.083,0.004,0.023
adaCO069,0,11,0.881,0.012,0.033,0.071,0.003
adaCO070,0,11,0.983,0.004,0.005,0.002,0.006
adaCO071,0,11,0.812,0.025,0.044,0.06,0.059
adaCO072,0,11,0.947,0.028,0.007,0.006,0.013
adaCO073,0,11,0.952,0.005,0.012,0.006,0.025
adaCO074,0,11,0.009,0.017,0.007,0.007,0.96
adaCO075,-3,11,0.921,0.013,0.045,0.009,0.012
adaCO076,0,11,0.891,0.079,0.012,0.015,0.003
adaMT001,-1,12,0.527,0.03,0.436,0.003,0.004
adaUT001,0,13,0.917,0.046,0.015,0.018,0.005
adaUT002,0,13,0.911,0.021,0.012,0.051,0.005
adaUT004,0,13,0.187,0.049,0.607,0.153,0.004
adaUT006,0,13,0.945,0.021,0.011,0.016,0.008
adaUT007,0,13,0.979,0.003,0.009,0.002,0.007
adaUT008,0,13,0.921,0.014,0.023,0.02,0.022
adaUT009,0,13,0.822,0.019,0.117,0.008,0.034
adaUT010,0,13,0.938,0.002,0.054,0.004,0.002
adaUT011,0,13,0.906,0.024,0.057,0.01,0.003
adaUT012,0,13,0.954,0.015,0.019,0.007,0.004
